n;nombre;unidad_medida;precio_unitario;saldo_inicial;entradas;salidas;saldo_final
142;INFORME DE ENFERMERIA;HOJA;0,26;0;0;0;0
143;INTERCONSULTAS Y/O TRANSFERENCIAS;HOJA;0,35;0;0;0;0
144;KARDEX DE ABASTECIMIENTO LAB 7;HOJA;1,4;0;200;200;0
145;KARDEX DE ABASTECIMIENTO LAB 8;HOJA;0,63;0;0;0;0
146;KARDEX DE ENFERMERIA;BLOCK;108,79;0;0;0;0
147;KARDEX DE EXISTENCIA CARTULINA 180 GR MEDIO OFICIO (tarjetas de existencia);PZA;2;0;0;0;0
148;LETRERO ACRILICO DORADO 14.5 CM CON LOGOTIPO DEL HOSPITAL Y FLORES NATURALES;PZA;4500;0;0;0;0
149;LIBRETA DE APUNTES FULL COLOR PAPEL CUCHE Y HOJAS BOND;UND;5,8;5;32;37;0
150;LIBRETA DE CONTROL FISIOTERAPIA;BLOCK;105;5;0;0;5
151;LIBRETA DE CONTROL MEDICO;BLOCK;27,43;0;0;0;0
152;LIBRETA DE DESARROLLO INFANTIL;PZA;26,5;16;0;16;0
153;LIBRO HOSPITALARIO N 28 (CITOPATOLOGIA CERVICAL);PZA;123,93;0;0;0;0
154;LIBRO HOSPITALARIO N10;PZA;121,8;25;0;25;0
155;LIBRO HOSPITALARIO N11;PZA;121,8;9;0;0;9
156;LIBRO HOSPITALARIO N12;PZA;133,93;0;0;0;0
157;LIBRO HOSPITALARIO N13 EMERG PEDIATR;PZA;157,27;1;0;0;1
158;LIBRO HOSPITALARIO N14;PZA;121,8;0;0;0;0
159;LIBRO HOSPITALARIO N15;PZA;121,8;0;0;0;0
160;LIBRO HOSPITALARIO N16;PZA;115,16;3;0;3;0
161;LIBRO HOSPITALARIO N17;PZA;90,9;3;0;3;0
162;LIBRO HOSPITALARIO N18;PZA;121,8;7;0;0;7
163;LIBRO HOSPITALARIO N19;PZA;121,8;7;0;0;7
164;LIBRO HOSPITALARIO N20;PZA;121,8;0;0;0;0
165;LIBRO HOSPITALARIO N21;PZA;121,8;7;0;0;7
166;LIBRO HOSPITALARIO N22;PZA;121,8;7;0;0;7
167;LIBRO HOSPITALARIO N23;PZA;200,9;7;0;0;7
168;LIBRO HOSPITALARIO N24;PZA;213,33;0;0;0;0
169;LIBRO HOSPITALARIO N25;PZA;121,8;0;0;0;0
170;LIBRO HOSPITALARIO N27;PZA;121,8;0;0;0;0
171;LIBRO HOSPITALARIO N29;PZA;152,36;0;0;0;0
172;LIBRO HOSPITALARIO N3;PZA;60,9;1;0;0;1
173;LIBRO HOSPITALARIO N30;PZA;142,95;4;0;0;4
174;LIBRO HOSPITALARIO N31;PZA;121,8;3;0;0;3
